00	0
01	0
02	0
03	0
04	570
05	55520
06	9242
07	25600
08	31587
09	8778
0A	443619
0B	0
0C	0
0D	9450
0E	961
0F	0
10	337702
11	0
12	0
13	0
14	158
15	18
16	18
17	0
18	195193
19	1964
1A	95074
1B	1
1C	0
1D	202421
1E	0
1F	1
20	321234
21	0
22	36189
23	0
24	1393
25	45078
26	4211
27	0
28	31587
29	279926
2A	18902
2B	0
2C	8707
2D	8080
2E	0
2F	0
30	88655
31	0
32	0
33	0
34	838
35	0
36	0
37	0
38	101152
39	536
3A	7088
3B	0
3C	0
3D	687
3E	3024
3F	271
40	3195
41	0
42	0
43	0
44	0
45	4453
46	12840
47	0
48	42906
49	4167
4A	217633
4B	12528
4C	32489
4D	9370
4E	0
4F	0
50	7838
51	0
52	0
53	0
54	3040
55	0
56	0
57	0
58	2026
59	4318
5A	34613
5B	1
5C	11
5D	1232
5E	0
5F	0
60	321165
61	0
62	11
63	0
64	34606
65	39628
66	0
67	0
68	53281
69	105726
6A	3140
6B	25944
6C	0
6D	9320
6E	0
6F	0
70	1460
71	0
72	0
73	0
74	8245
75	5042
76	0
77	0
78	3201
79	26101
7A	44363
7B	0
7C	0
7D	45483
7E	1008
7F	23354
80	107075
81	0
82	66
83	0
84	35272
85	468468
86	157987
87	6144
88	184490
89	0
8A	41919
8B	13034
8C	46118
8D	599552
8E	67687
8F	6142
90	120394
91	0
92	0
93	0
94	1
95	13632
96	0
97	138885
98	62837
99	150977
9A	0
9B	19167
9C	76970
9D	306723
9E	24965
9F	101677
A0	101987
A1	0
A2	62902
A3	0
A4	34335
A5	1799608
A6	196500
A7	184799
A8	101682
A9	217179
AA	61852
AB	26065
AC	71154
AD	230956
AE	54170
AF	84
B0	114673
B1	10174
B2	916
B3	0
B4	3851
B5	55307
B6	15
B7	246900
B8	0
B9	109060
BA	0
BB	25613
BC	44029
BD	385440
BE	31865
BF	33514
C0	99581
C1	0
C2	252193
C3	0
C4	1
C5	29134
C6	141862
C7	0
C8	495945
C9	176336
CA	434527
CB	0
CC	4799
CD	74541
CE	2595
CF	0
D0	802097
D1	0
D2	0
D3	0
D4	0
D5	2593
D6	14
D7	0
D8	0
D9	5644
DA	40901
DB	0
DC	10256
DD	2588
DE	4054
DF	1657
E0	65441
E1	0
E2	257642
E3	0
E4	12726
E5	41936
E6	115991
E7	0
E8	452993
E9	24026
EA	72616
EB	255218
EC	18716
ED	6423
EE	1067
EF	0
F0	1755664
F1	0
F2	0
F3	0
F4	0
F5	2820
F6	0
F7	0
F8	0
F9	52175
FA	40904
FB	1
FC	0
FD	7147
FE	14208
FF	0
